dcode,no_male,no_female
1025,46569,53750
1017,35694,42026
1045,52925,62158
1048,35196,40264
1011,77034,83816
1026,61684,70163
1019,50414,56372
1002,57513,51302
1044,41224,47694
1014,36639,36894
1020,57144,62888
1037,34886,38014
1001,28223,30548
1008,25312,26781
1007,25437,29559
1040,90298,101978
1034,53689,61730
1039,38153,42694
1016,35019,38845
1022,61556,68937
1013,13587,14414
1033,53240,57241
1015,57651,63888
1018,36333,41138
1032,75108,83349
1004,21739,24348
1023,69491,78807
1028,41117,45097
1012,39515,42966
1035,76115,82531
1031,46272,50150
1009,43686,50796
1024,42289,45552
1050,50376,54392
1047,45814,51225
1021,76974,84668
1036,82691,83519
1003,75401,78970
1042,87801,98186
1046,78804,86548
1041,53107,58013
1005,90000,98252
1030,76186,85223
1043,40719,46450
1010,64680,71556
1038,55826,66354
1029,64121,70880
1027,67308,78889
1006,67820,80825
1049,54574,61249
